Sentence,Choice_A,Choice_B,Correct_Answer,Phase,Lesson,Illustratable,Purpose
Esa ___ es de mamá.,naranja,cocina,naranja,2,15,Yes,Fill-in-Blank
La ___ es de papá.,corona,canela,corona,2,15,Yes,Fill-in-Blank
La ___ de papá.,foca,foto,foca,2,16,Yes,Fill-in-Blank
El ___ es de mamá.,café,foca,café,2,16,Yes,Fill-in-Blank
Mi ___ es mía.,foto,foca,foto,2,16,Yes,Fill-in-Blank
Esa ___ es de papá.,uva,vaca,uva,2,17,Yes,Fill-in-Blank
La ___ de mi mamá.,vaca,uva,vaca,2,17,Yes,Fill-in-Blank
El ___ de mamá.,gato,lago,gato,2,18,Yes,Fill-in-Blank
La ___ es de papá.,goma,gota,goma,2,18,Yes,Fill-in-Blank
Mi ___ es mío.,lago,gato,lago,2,18,Yes,Fill-in-Blank
El ___ de mamá.,zapato,jugo,zapato,2,19,Yes,Fill-in-Blank
La ___ de papá.,piña,niña,piña,2,19,Yes,Fill-in-Blank
Mi ___ es mío.,jugo,zapato,jugo,2,19,Yes,Fill-in-Blank
El ___ de papá.,niño,piña,niño,2,19,Yes,Fill-in-Blank
La ___ es de mamá.,piña,niña,piña,2,19,Yes,Fill-in-Blank
El ___ de mamá.,chico,leche,chico,3,21,Yes,Fill-in-Blank
La ___ es de noche.,leche,mucho,leche,3,21,Yes,Fill-in-Blank
Son ___.,ocho,noche,ocho,3,21,No,Fill-in-Blank
El ___ es mío.,coche,noche,coche,3,21,Yes,Fill-in-Blank
La ___ de mi casa.,noche,leche,noche,3,21,Yes,Fill-in-Blank
La ___ de mamá.,llama,silla,llama,3,22,Yes,Fill-in-Blank
El ___ de la calle.,pollo,silla,pollo,3,22,Yes,Fill-in-Blank
Mi ___ es mía.,silla,calle,silla,3,22,Yes,Fill-in-Blank
La ___ de papá.,calle,llama,calle,3,22,Yes,Fill-in-Blank
Esa es ___.,ella,silla,ella,3,22,No,Fill-in-Blank
El ___ de mamá.,perro,carro,perro,3,23,Yes,Fill-in-Blank
La ___ es de arroz.,torre,borra,torre,3,23,Yes,Fill-in-Blank
Mi ___ es mío.,carro,perro,carro,3,23,Yes,Fill-in-Blank
El ___ de papá.,arroz,torre,arroz,3,23,Yes,Fill-in-Blank
La ___ de mi casa.,torre,carro,torre,3,23,Yes,Fill-in-Blank
El ___ de mamá.,queso,pequeño,queso,3,24,Yes,Fill-in-Blank
La ___ es mía.,máquina,paquete,máquina,3,24,Yes,Fill-in-Blank
Mi ___ es de papá.,paquete,pequeño,paquete,3,24,Yes,Fill-in-Blank
El ___ es mío.,pequeño,queso,pequeño,3,24,Yes,Fill-in-Blank
Esa ___ es de mamá.,quesadilla,maquina,quesadilla,3,24,Yes,Fill-in-Blank
La ___ de mamá.,mochila,tortilla,mochila,3,25,Yes,Fill-in-Blank
El ___ es chiquito.,perrito,quesadilla,perrito,3,25,Yes,Fill-in-Blank
Mi ___ es mía.,tortilla,chaqueta,tortilla,3,25,Yes,Fill-in-Blank
La ___ de papá.,chaqueta,mochila,chaqueta,3,25,Yes,Fill-in-Blank
Esa ___ es de mamá.,quesadilla,tortilla,quesadilla,3,25,Yes,Fill-in-Blank
___ mamá.,Hola,Hora,Hola,3,26,No,Fill-in-Blank
La ___ es ahora.,hora,hola,hora,3,26,No,Fill-in-Blank
Mi ___ es mío.,hilo,huevo,hilo,3,26,Yes,Fill-in-Blank
El ___ de mamá.,huevo,hora,huevo,3,26,Yes,Fill-in-Blank
Eso es un ___.,hueso,hilo,hueso,3,26,Yes,Fill-in-Blank
El ___ de mamá.,baile,peine,baile,3,27,Yes,Fill-in-Blank
La ___ es de Europa.,reina,baile,reina,3,27,Yes,Fill-in-Blank
Mi ___ es mío.,auto,peine,auto,3,27,Yes,Fill-in-Blank
El ___ de papá.,peine,baile,peine,3,27,Yes,Fill-in-Blank
La ___ de mi casa.,reina,auto,reina,3,27,Yes,Fill-in-Blank
El ___ de mamá.,blanco,clase,blanco,4,29,Yes,Fill-in-Blank
La ___ es de papá.,flor,plato,flor,4,29,Yes,Fill-in-Blank
Mi ___ es mío.,globo,blanco,globo,4,29,Yes,Fill-in-Blank
El ___ de papá.,plato,clase,plato,4,29,Yes,Fill-in-Blank
La ___ de mi casa.,clase,flor,clase,4,29,Yes,Fill-in-Blank
El ___ de mamá.,brazo,crema,brazo,4,30,Yes,Fill-in-Blank
La ___ es de papá.,brisa,cristal,brisa,4,30,Yes,Fill-in-Blank
Mi ___ es mía.,crema,brazo,crema,4,30,Yes,Fill-in-Blank
El ___ de papá.,cristal,drama,cristal,4,30,Yes,Fill-in-Blank
La ___ de mi casa.,brisa,crema,brisa,4,30,Yes,Fill-in-Blank
La ___ de mamá.,fresa,grande,fresa,4,31,Yes,Fill-in-Blank
El ___ es de papá.,tren,grupo,tren,4,31,Yes,Fill-in-Blank
Mi ___ es mío.,primo,fresa,primo,4,31,Yes,Fill-in-Blank
El ___ de papá.,grupo,grande,grupo,4,31,Yes,Fill-in-Blank
La ___ es mía.,fresa,grande,fresa,4,31,Yes,Fill-in-Blank
La ___ de mamá.,biblioteca,problema,biblioteca,4,32,Yes,Fill-in-Blank
La ___ es de papá.,estrella,cristal,estrella,4,32,Yes,Fill-in-Blank
El ___ de papá.,problema,cristal,problema,4,32,No,Fill-in-Blank
Esa ___ es mía.,estrella,biblioteca,estrella,4,32,Yes,Fill-in-Blank
La ___ de mi casa.,biblioteca,estrella,biblioteca,4,32,Yes,Fill-in-Blank
La ___ de mamá.,paloma,árbol,paloma,4,33,Yes,Fill-in-Blank
El ___ es de papá.,pelota,mariposa,pelota,4,33,Yes,Fill-in-Blank
Mi ___ es mío.,árbol,paloma,árbol,4,33,Yes,Fill-in-Blank
El ___ de papá.,camino,pelota,camino,4,33,Yes,Fill-in-Blank
La ___ de mi casa.,mariposa,árbol,mariposa,4,33,Yes,Fill-in-Blank
El ___ de mamá.,pájaro,teléfono,pájaro,4,34,Yes,Fill-in-Blank
La ___ es de papá.,música,rápido,música,4,34,No,Fill-in-Blank
Mi ___ es mío.,café,pájaro,café,4,34,Yes,Fill-in-Blank
El ___ de papá.,teléfono,música,teléfono,4,34,Yes,Fill-in-Blank
La ___ de mi casa.,música,café,música,4,34,No,Fill-in-Blank
La ___ de mamá.,mariposa,elefante,mariposa,4,35,Yes,Fill-in-Blank
El ___ es de papá.,computadora,refrigerador,computadora,4,35,Yes,Fill-in-Blank
Mi ___ es mío.,elefante,mariposa,elefante,4,35,Yes,Fill-in-Blank
La ___ de papá.,biblioteca,computadora,biblioteca,4,35,Yes,Fill-in-Blank
El ___ de mi casa.,refrigerador,elefante,refrigerador,4,35,Yes,Fill-in-Blank
